room,elongation
Area_1_WC_1.ply,0.4948842605481191
Area_1_conferenceRoom_1.ply,0.5929422365569689
Area_1_conferenceRoom_2.ply,0.5557542305551174
Area_1_copyRoom_1.ply,0.7829696088896991
Area_1_hallway_1.ply,0.6235822592468944
Area_1_hallway_2.ply,0.26071681742634567
Area_1_hallway_3.ply,0.6034482076637324
Area_1_hallway_4.ply,0.8595140922039879
Area_1_hallway_5.ply,0.6019784618760808
Area_1_hallway_6.ply,0.11020426016995612
Area_1_hallway_7.ply,0.06901021535507555
Area_1_hallway_8.ply,0.7683708415218161
Area_1_office_1.ply,0.6796413538776627
Area_1_office_10.ply,0.726481016235488
Area_1_office_11.ply,0.6637309063295204
Area_1_office_12.ply,0.8276357810059374
Area_1_office_13.ply,0.8523814040643796
Area_1_office_14.ply,0.49396945080946875
Area_1_office_15.ply,0.9361861388097692
Area_1_office_16.ply,0.5333224359666706
Area_1_office_17.ply,0.649487564326745
Area_1_office_18.ply,0.6734068115222555
Area_1_office_19.ply,0.7461005762350806
Area_1_office_2.ply,0.6579157781586119
Area_1_office_20.ply,0.6891022189852467
Area_1_office_21.ply,0.6835759018786234
Area_1_office_22.ply,0.6798460496488372
Area_1_office_23.ply,0.6718911109271641
Area_1_office_24.ply,0.713199780639997
Area_1_office_25.ply,0.6914325740661061
Area_1_office_26.ply,0.5814067932763147
Area_1_office_27.ply,0.6535028769410267
Area_1_office_28.ply,0.7952290788693496
Area_1_office_29.ply,0.7432934078906108
Area_1_office_3.ply,0.6592714852714824
Area_1_office_30.ply,0.4498179729575738
Area_1_office_31.ply,0.24425948028288672
Area_1_office_4.ply,0.8787198026579389
Area_1_office_5.ply,0.7833959024955894
Area_1_office_6.ply,0.8501921070694521
Area_1_office_7.ply,0.8621517202808562
Area_1_office_8.ply,0.6837207351961393
Area_1_office_9.ply,0.49421300139562424
Area_1_pantry_1.ply,0.7833024751901376
Area_2_WC_1.ply,0.5583479754125297
Area_2_WC_2.ply,0.48721003862587403
Area_2_auditorium_1.ply,0.22929888122882744
Area_2_auditorium_2.ply,0.19138852423437705
Area_2_conferenceRoom_1.ply,0.2609065323409873
Area_2_hallway_1.ply,0.6152097387111827
Area_2_hallway_10.ply,0.15678267899521647
Area_2_hallway_11.ply,0.3806627679388679
Area_2_hallway_12.ply,0.5224370416141971
Area_2_hallway_2.ply,0.21779424611516932
Area_2_hallway_3.ply,0.29280248509477885
Area_2_hallway_4.ply,0.4426377814816846
Area_2_hallway_5.ply,0.1535808040060292
Area_2_hallway_6.ply,0.6540948204327437
Area_2_hallway_7.ply,0.9028302120902398
Area_2_hallway_8.ply,0.0656508960482228
Area_2_hallway_9.ply,0.771862732729175
Area_2_office_1.ply,0.8278997859696272
Area_2_office_10.ply,0.8749708172284205
Area_2_office_11.ply,0.8521297387182056
Area_2_office_12.ply,0.7248475441710797
Area_2_office_13.ply,0.9033279522074774
Area_2_office_14.ply,0.36851891816161575
Area_2_office_2.ply,0.9178250124278566
Area_2_office_3.ply,0.7782378939059773
Area_2_office_4.ply,0.44938310500936335
Area_2_office_5.ply,0.6247438708846074
Area_2_office_6.ply,0.8638134190471034
Area_2_office_7.ply,0.8973235176784724
Area_2_office_8.ply,0.8411566081423033
Area_2_office_9.ply,0.8921877970785065
Area_2_storage_1.ply,0.3440226462060214
Area_2_storage_2.ply,0.8044367652468221
Area_2_storage_3.ply,0.8050898711706569
Area_2_storage_4.ply,0.8528440188424988
Area_2_storage_5.ply,0.49661385186585555
Area_2_storage_6.ply,0.5107165035539672
Area_2_storage_7.ply,0.7320193424678366
Area_2_storage_8.ply,0.6709780350652199
Area_2_storage_9.ply,0.5134198732542368
Area_3_WC_1.ply,0.4196376882244771
Area_3_WC_2.ply,0.4403983415623216
Area_3_conferenceRoom_1.ply,0.41214416142379834
Area_3_hallway_1.ply,0.20721850210482948
Area_3_hallway_2.ply,0.19337932156481513
Area_3_hallway_3.ply,0.6430424328956463
Area_3_hallway_4.ply,0.12314137319408452
Area_3_hallway_5.ply,0.47184887279181975
Area_3_hallway_6.ply,0.9118606452072241
Area_3_lounge_1.ply,0.5466928991911953
Area_3_lounge_2.ply,0.42551263950687745
Area_3_office_1.ply,0.6445799855054326
Area_3_office_10.ply,0.6871982752207247
Area_3_office_2.ply,0.5999694612957164
Area_3_office_3.ply,0.5590565749328456
